TelescopeDriver.py:204: warning: Member rootsumsquare(a, b) (function) of namespace TelescopeDriver 

TelescopeDriver.py:208: warning: Member matmul(a, b) (function) of namespace TelescopeDriver 

TelescopeDriver.py:17: warning: Member NUMBER_OF_MICROSTEPS (variable) of namespace TelescopeDriver 

TelescopeDriver.py:23: warning: Member __init__(self, actuatorOne, actuatorTwo, actuatorThree) (function) of class TelescopeDriver::Telescope 

TelescopeDriver.py:112: warning: Member goToAngles(self, O_alt, O_az, O_rot, move=False) (function) of class TelescopeDriver::Telescope 

TelescopeDriver.py:24: warning: Member actuatorOne (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:25: warning: Member actuatorTwo (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:26: warning: Member actuatorThree (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:29: warning: Member P0_b (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:30: warning: Member P1_b (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:31: warning: Member P2_b (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:32: warning: Member P3_b (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:33: warning: Member OA_b (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:36: warning: Member P1_h (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:37: warning: Member P2_h (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:38: warning: Member P3_h (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:39: warning: Member OA_h (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:42: warning: Member L_p1min (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:43: warning: Member L_p2min (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:44: warning: Member L_p3min (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:45: warning: Member L_p1p2 (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:48: warning: Member phi_az (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:49: warning: Member phi_alt (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:50: warning: Member phi_rot (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:54: warning: Member alt_cur (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:55: warning: Member az_cur (variable) of class TelescopeDriver::Telescope 

TelescopeDriver.py:56: warning: Member rot_cur (variable) of class TelescopeDriver::Telescope 
